kernel_size,parameters,train_time_s,final_val_acc,test_accuracy,test_loss
3x3,206922,119.26497054100037,0.9051666666666667,0.9007,0.2672882206916809
5x5,215370,125.31330466270447,0.9136666666666666,0.9092,0.24630908844470978
7x7,228042,139.93988823890686,0.9086666666666666,0.9055,0.2655135646700859
